,labels
0,Music
1,Music
2,Social
3,Book
4,Music
5,Social
6,Music
7,Social
8,Social
9,Music
10,Social
11,Movie
12,Social
13,Social
14,Music
15,Social
16,Music
17,Music
18,Social
19,Movie
20,Movie
21,Music
22,Social
23,Music
24,Music
25,Social
26,Social
27,Music
28,Social
29,Music
30,Book
31,Book
32,Social
33,Social
34,Music
35,Social
36,Social
37,Movie
38,Book
39,Book
40,Music
41,Music
42,Music
43,Book
44,Book
45,Music
46,Social
47,Music
48,Music
49,Social
50,Social
51,Social
52,Music
53,Movie
54,Movie
55,Social
56,Music
57,Music
58,Social
59,Social
60,Movie
61,Music
62,Social
63,Social
64,Social
65,Music
66,Social
67,Movie
68,Social
69,Social
70,Book
71,Music
72,Movie
73,Music
74,Book
75,Social
76,Music
77,Music
78,Social
79,Movie
80,Social
81,Music
82,Social
83,Book
84,Social
85,Book
86,Social
87,Music
88,Movie
89,Movie
90,Social
91,Social
92,Social
93,Music
94,Music
95,Social
96,Music
97,Social
98,Movie
99,Movie
100,Social
101,Music
102,Movie
103,Movie
104,Music
105,Social
106,Social
107,Movie
108,Music
109,Social
110,Social
111,Social
112,Music
113,Music
114,Music
115,Book
116,Social
117,Social
118,Book
119,Book
120,Book
121,Social
122,Music
123,Music
124,Book
125,Movie
126,Book
127,Social
128,Book
129,Music
130,Social
131,Music
132,Music
133,Social
134,Book
135,Social
136,Music
137,Movie
138,Music
139,Social
140,Music
141,Movie
142,Music
143,Movie
144,Music
145,Movie
146,Movie
147,Movie
148,Social
149,Social
150,Music
151,Music
152,Music
153,Social
154,Social
155,Social
156,Social
157,Music
158,Music
159,Social
160,Social
161,Music
162,Music
163,Music
164,Music
165,Social
166,Social
167,Social
168,Music
169,Book
170,Social
171,Social
172,Music
173,Music
174,Book
175,Social
176,Social
177,Music
178,Social
179,Music
180,Movie
181,Movie
182,Social
183,Social
184,Music
185,Book
186,Social
187,Book
188,Social
189,Movie
190,Book
191,Social
192,Social
193,Music
194,Social
195,Social
196,Social
197,Social
198,Movie
199,Social
200,Book
201,Book
202,Book
203,Music
204,Social
205,Music
206,Social
207,Music
208,Social
209,Book
210,Music
211,Social
212,Book
213,Music
214,Social
215,Social
216,Movie
217,Movie
218,Social
219,Book
220,Music
221,Music
222,Social
223,Social
224,Music
225,Movie
226,Social
227,Music
228,Book
229,Music
230,Music
231,Social
232,Music
233,Social
234,Music
235,Movie
236,Book
237,Social
238,Social
239,Social
240,Movie
241,Music
242,Social
243,Social
244,Music
245,Music
246,Music
247,Social
248,Movie
249,Music
250,Social
251,Social
252,Music
253,Book
254,Social
255,Music
256,Music
257,Social
258,Social
259,Movie
260,Music
261,Social
262,Music
263,Social
264,Social
265,Social
266,Social
267,Music
268,Music
269,Social
270,Social
271,Music
272,Social
273,Social
274,Social
275,Music
276,Music
277,Social
278,Book
279,Social
280,Social
281,Music
282,Movie
283,Music
284,Book
285,Music
286,Music
287,Music
288,Social
289,Social
290,Music
291,Social
292,Music
293,Book
294,Movie
295,Music
296,Music
297,Music
298,Movie
299,Social
300,Music
301,Social
302,Music
303,Movie
304,Social
305,Music
306,Social
